voltageLevelId;xPosition;yPosition;xLabelPosition;yLabelPosition
.GARO 6;-102279;-1640530;-102279;-1640530
.GARO 7;-82802;-1667845;-82802;-1667845
.GARR 7;496281;-1527952;506101;-1522986
.GATI 6;81894;-1789299;81894;-1789299
.GATI 7;88532;-1818512;89585;-1821414
.GAUS 7;166471;-1291359;166471;-1291359
.GEER 7;813648;-2766403;821686;-2770948
.GEZE 7;697283;-2704918;685154;-2697788
.GODE 6;-53675;-1389027;-53675;-1389027
.GODE 7;-53408;-1389027;-53408;-1389027
.GORL 7;1205522;-2103362;1215427;-2107964
.GOSG 6;1113062;-2224466;1120125;-2223279
.GOSG 7;1113405;-2213863;1121250;-2210242
.GOSS 5;827426;-2620615;827426;-2620615
.GOUY 5;851693;-2620023;851693;-2620023
.GOUY 7;848281;-2639914;848281;-2639914
.GRAD 6;267239;-1585698;267239;-1585698
.GRAF 7;1419465;-2384205;1428589;-2392080
.GRAM 7;871600;-2635544;858342;-2641522
.GRIJ 7;-192420;-1613187;-179548;-1624913
.GROH 7;1279411;-2702757;1286329;-2706865
.GRON 7;1087588;-2799424;1086049;-2814791
.GRUG 6;1037168;-1953453;1037168;-1953453
.GSTA 6;1050603;-2156484;1057223;-2155988
.GUAR 6;-97716;-1779138;-97716;-1779138
.GUEN 6;19581;-1725436;24423;-1732052
.GUEN 7;-1791;-1736685;-11169;-1744594
.GUERP4;273439;-2525240;273439;-2525240
.GURR 6;253936;-1617348;243939;-1615051
.GURT 6;1102406;-2281257;1093799;-2281301
.HARO 6;-2800;-1652972;-2800;-1652973
.HAUT 6;994393;-2151253;987674;-2153847
.HEIN 6;875220;-2536657;875220;-2536657
.HEIS 6;933202;-2546093;936452;-2551077
